Station,Mean,Std,Min,Max,Count
Annapolis,1.584797379017132,0.23782782210911138,0.201,3.57,599775
Atlantic_City,2.1561802882943395,0.4897910904947002,-0.085,4.218,589467
Charleston,1.7129339311080707,0.6066347240592465,-0.347,4.331,611044
Eastport,4.424925701524419,1.9562050810905383,0.213,8.88,566445
Fernandina_Beach,1.4985661692451064,0.6866724532686408,-0.686,3.759,591249
Lewes,1.5182109029915245,0.49514695007907644,-0.439,3.658,585454
Portland,4.116746652090283,1.0242765964983231,1.585,6.797,604631
Sandy_Hook,1.5353949414050512,0.546674375450058,-0.668,4.432,602697
Sewells_Point,1.7221894227624641,0.3394744516442545,0.244,3.74,617666
The_Battery,1.7700237057370483,0.5339929253436191,-0.274,5.265,600361
Washington,1.8417701803802349,0.37985082570644724,-0.134,4.512,603891
Wilmington,1.4754519842586422,0.4767707466445329,0.189,3.499,608842
